hks_t0,hks_t1,hks_t2,hks_t3,hks_t4,hks_t5,hks_t6,hks_t7,hks_t8,hks_t9,hks_t10,hks_t11,hks_t12,hks_t13,hks_t14,hks_t15,hks_t16,hks_t17,hks_t18,hks_t19,hks_t20,hks_t21,hks_t22,hks_t23,hks_t24,hks_t25,hks_t26,hks_t27,hks_t28,hks_t29,hks_t30,hks_t31,target_label
-14.671795,-14.679008,-14.687548,-14.697608,-14.709389,-14.723086,-14.73888,-14.756914,-14.777278,-14.799991,-14.824991,-14.852152,-14.8813095,-14.912339,-14.945241,-14.980226,-15.017748,-15.058459,-15.103076,-15.152208,-15.206222,-15.265211,-15.329084,-15.397731,-15.471226,-15.549983,-15.634808,-15.726783,-15.827006,-15.936247,-16.05461,-16.181236,Spine
-13.0414,-13.077394,-13.120792,-13.17304,-13.235823,-13.311077,-13.400993,-13.507976,-13.63455,-13.783174,-13.955891,-14.153756,-14.375983,-14.618853,-14.87474,-15.132142,-15.377831,-15.6011715,-15.798053,-15.971101,-16.126253,-16.269117,-16.403557,-16.532146,-16.657213,-16.781528,-16.908358,-17.040953,-17.181904,-17.332771,-17.494091,-17.665575,Spine
-13.80048,-13.806511,-13.813735,-13.822364,-13.83264,-13.844834,-13.859244,-13.876195,-13.896025,-13.91909,-13.94575,-13.976368,-14.011315,-14.050993,-14.095864,-14.14652,-14.203749,-14.268619,-14.342532,-14.427237,-14.524775,-14.637362,-14.767207,-14.916274,-15.085977,-15.276789,-15.487728,-15.715724,-15.955027,-16.19708,-16.43151,-16.648647,Spine
-13.940638,-13.967959,-14.000697,-14.03981,-14.0863695,-14.1415415,-14.20654,-14.282558,-14.370642,-14.471509,-14.585308,-14.711345,-14.847833,-14.991825,-15.139493,-15.286816,-15.430531,-15.56885,-15.701546,-15.829435,-15.953716,-16.075493,-16.195469,-16.313702,-16.429504,-16.541662,-16.648876,-16.750282,-16.845863,-16.936665,-17.024729,-17.112703,Spine
-13.791311,-13.813902,-13.841048,-13.873604,-13.912546,-13.95899,-14.014172,-14.079442,-14.156218,-14.245914,-14.349831,-14.4689665,-14.603756,-14.753682,-14.916762,-15.088946,-15.263661,-15.432041,-15.584567,-15.714264,-15.819892,-15.906612,-15.983434,-16.059626,-16.14256,-16.237434,-16.347946,-16.476906,-16.626457,-16.79787,-16.990997,-17.203485,Spine
-14.633124,-14.642157,-14.652763,-14.665135,-14.679447,-14.695839,-14.714391,-14.735101,-14.757851,-14.782398,-14.808381,-14.8353615,-14.86292,-14.890771,-14.918898,-14.94763,-14.977641,-15.009862,-15.045368,-15.085325,-15.131003,-15.183846,-15.2455225,-15.317924,-15.40314,-15.503423,-15.621125,-15.758586,-15.917876,-16.100357,-16.305973,-16.532326,Spine
-15.008145,-15.025422,-15.04596,-15.070269,-15.098884,-15.132349,-15.171173,-15.215785,-15.266462,-15.3232565,-15.385925,-15.453893,-15.526281,-15.60203,-15.680097,-15.759702,-15.840488,-15.922544,-16.006271,-16.092232,-16.181034,-16.273298,-16.369637,-16.470558,-16.576347,-16.6869,-16.801666,-16.91974,-17.040056,-17.161522,-17.282932,-17.402685,Shaft
-14.631633,-14.640867,-14.651682,-14.664253,-14.678732,-14.695225,-14.713764,-14.734278,-14.756558,-14.7802515,-14.804861,-14.8298,-14.854488,-14.878484,-14.901609,-14.924031,-14.946255,-14.969034,-14.993281,-15.020015,-15.050366,-15.085618,-15.127202,-15.176688,-15.2357855,-15.306371,-15.390533,-15.49061,-15.609159,-15.748871,-15.912358,-16.101774,Spine
-14.777005,-14.792362,-14.810704,-14.832537,-14.858418,-14.888949,-14.924748,-14.966425,-15.014526,-15.06948,-15.131516,-15.200596,-15.276349,-15.35806,-15.44471,-15.535087,-15.627944,-15.722168,-15.816936,-15.911855,-16.007078,-16.103292,-16.201492,-16.30252,-16.406572,-16.512909,-16.619978,-16.725927,-16.829336,-16.929844,-17.028393,-17.126917,Shaft
-14.55529,-14.561129,-14.568029,-14.576143,-14.585621,-14.596612,-14.609246,-14.623625,-14.639806,-14.657795,-14.677546,-14.698972,-14.721999,-14.746621,-14.77299,-14.801495,-14.832796,-14.867814,-14.907653,-14.953507,-15.006594,-15.068124,-15.139279,-15.221148,-15.314583,-15.419988,-15.537079,-15.664694,-15.800759,-15.942534,-16.087149,-16.23229,Spine
-14.150316,-14.162656,-14.177142,-14.194026,-14.213533,-14.235832,-14.260998,-14.288965,-14.31949,-14.352128,-14.386241,-14.421092,-14.455996,-14.490545,-14.5248375,-14.559607,-14.596193,-14.636352,-14.681999,-14.735031,-14.797278,-14.870572,-14.956835,-15.05813,-15.176641,-15.314564,-15.473865,-15.655831,-15.860322,-16.084677,-16.322525,-16.563269,Spine
